Date,Region,"Gross domestic product, current prices",General government revenue,General government total expenditure,General government net debt,General government gross debt,"Inflation, average consumer prices",,,,,
31/12/2017,Advanced economies,"48,646,210,000,000.00",0.35911,0.38275,74.475,1.0322,0.01715,,,,,
31/12/2018,Advanced economies,"51,497,020,000,000.00",0.35878,0.38343,74.364,1.02708,0.0196,,,,,
31/12/2019,Advanced economies,"51,994,710,000,000.00",0.35615,0.38568,75.232,1.03817,0.01397,,,,,
31/12/2020,Advanced economies,"50,733,330,000,000.00",0.36078,0.46538,87.51,1.23208,0.00684,,,,,
31/12/2021,Advanced economies,"56,094,940,000,000.00",0.36606,0.43891,87.343,1.19788,0.03099,,,,,
31/12/2022,Advanced economies,"59,247,770,000,000.00",0.36446,0.40795,84.82,1.15545,0.05685,,,,,
31/12/2017,Euro area,"12,673,280,000,000.00",0.46143,0.47074,72.391,0.87526,0.01538,,,,,
31/12/2018,Euro area,"13,705,550,000,000.00",0.46371,0.46807,70.611,0.85546,0.01755,,,,,
31/12/2019,Euro area,"13,417,460,000,000.00",0.46237,0.46881,69.149,0.83548,0.01196,,,,,
31/12/2020,Euro area,"13,016,990,000,000.00",0.46321,0.53526,79.615,0.97289,0.00252,,,,,
31/12/2021,Euro area,"14,504,740,000,000.00",0.47094,0.52561,79.24,0.96007,0.02588,,,,,
31/12/2022,Euro area,"14,492,810,000,000.00",0.46421,0.50742,79.244,0.95174,0.05251,,,,,
31/12/2017,Major advanced economies (G7),"37,000,680,000,000.00",0.35909,0.39136,85.916,1.17353,0.01759,,,,,
31/12/2018,Major advanced economies (G7),"39,056,450,000,000.00",0.3577,0.39178,86.106,1.17111,0.02087,,,,,
31/12/2019,Major advanced economies (G7),"39,748,660,000,000.00",0.35487,0.39263,86.761,1.18077,0.0148,,,,,
31/12/2020,Major advanced economies (G7),"38,694,510,000,000.00",0.3612,0.48017,100.78,1.40761,0.00797,,,,,
31/12/2021,Major advanced economies (G7),"42,376,000,000,000.00",0.36601,0.45048,101.198,1.37337,0.0333,,,,,
31/12/2022,Major advanced economies (G7),"45,107,750,000,000.00",0.36613,0.41535,97.53,1.31628,0.06091,,,,,
31/12/2017,Other advanced economies (Advanced economies excluding G7 and euro area),"7,217,140,000,000.00",0.32046,0.30848,,0.41588,0.01528,,,,,
31/12/2018,Other advanced economies (Advanced economies excluding G7 and euro area),"7,599,220,000,000.00",0.32207,0.31054,,0.41276,0.01571,,,,,
31/12/2019,Other advanced economies (Advanced economies excluding G7 and euro area),"7,458,030,000,000.00",0.31999,0.32133,,0.43357,0.01081,,,,,
