Date,Country,"Gross domestic product, current prices","Inflation, average consumer prices",General government revenue,General government total expenditure,General government net debt,General government gross debt,,,,
31/12/2017,Afghanistan,"18,883,000,000",1.10998,0.27059,0.27732,,0.07998,,,,
31/12/2018,Afghanistan,"18,401,000,000",1.11693,0.3057,0.28936,,0.07384,,,,
31/12/2019,Afghanistan,"18,876,000,000",1.14264,0.26941,0.27999,,0.0613,,,,
31/12/2020,Afghanistan,"20,136,000,000",1.20671,0.25694,0.27937,,0.07397,,,,
31/12/2017,Albania,"13,053,000,000",1.03297,0.27756,0.29372,65.505,0.71895,,,,
31/12/2018,Albania,"15,157,000,000",1.05393,0.27485,0.28802,61.47,0.69466,,,,
31/12/2019,Albania,"15,399,000,000",1.0688,0.27209,0.29153,60.41,0.67285,,,,
31/12/2020,Albania,"15,161,000,000",1.08613,0.25905,0.32619,69.848,0.75927,,,,
31/12/2021,Albania,"18,314,000,000",1.10831,0.2703,0.31557,64.621,0.74206,,,,
31/12/2022,Albania,"17,942,000,000",1.16949,0.26872,0.31921,68.125,0.7407,,,,
31/12/2017,Algeria,"170,207,000,000",1.9397,0.3204,0.38581,21.237,0.26808,,,,
31/12/2018,Algeria,"175,372,000,000",2.02253,0.3338,0.37805,25.649,0.38256,,,,
31/12/2019,Algeria,"171,070,000,000",2.062,0.32316,0.37895,30.631,0.46208,,,,
31/12/2020,Algeria,"147,600,000,000",2.1118,0.30128,0.36868,43.253,0.51324,,,,
31/12/2021,Algeria,"164,564,000,000",2.2644,0.29573,0.33354,51.447,0.62455,,,,
31/12/2022,Algeria,"193,601,000,000",2.46053,0.30589,0.35597,51.25,0.56641,,,,
31/12/2017,Andorra,"2,993,000,000",1.00001,0.37973,0.34646,,0.37827,,,,
31/12/2018,Andorra,"3,217,000,000",1.01285,0.38476,0.35811,,0.36345,,,,
31/12/2019,Andorra,"3,155,000,000",1.02036,0.38016,0.35737,,0.35399,,,,
31/12/2020,Andorra,"2,885,000,000",1.02298,0.40371,0.43189,,0.46329,,,,
31/12/2021,Andorra,"3,330,000,000",1.04077,0.38934,0.39462,,0.48507,,,,
31/12/2022,Andorra,"3,400,000,000",1.07062,0.38865,0.37686,,0.44767,,,,
31/12/2017,Angola,"122,022,000,000",2.51795,0.17516,0.24103,,0.69323,,,,
31/12/2018,Angola,"101,353,000,000",3.01218,0.22866,0.20579,,0.92995,,,,
31/12/2019,Angola,"84,516,000,000",3.52664,0.21179,0.20403,,1.13554,,,,
31/12/2020,Angola,"58,254,000,000",4.31227,0.20937,0.22831,,1.36826,,,,
31/12/2021,Angola,"74,495,000,000",5.42334,0.22118,0.19294,,0.86266,,,,
31/12/2022,Angola,"124,862,000,000",6.72205,0.21345,0.18222,,0.57901,,,,
31/12/2017,Antigua and Barbuda,"1,468,000,000",0.98422,0.20737,0.23577,,0.92193,,,,
31/12/2018,Antigua and Barbuda,"1,606,000,000",0.99614,0.19815,0.22284,,0.877,,,,
31/12/2019,Antigua and Barbuda,"1,688,000,000",1.0104,0.18636,0.22619,,0.81251,,,,
31/12/2020,Antigua and Barbuda,"1,370,000,000",1.02109,0.20399,0.26761,,1.01477,,,,
31/12/2021,Antigua and Barbuda,"1,459,000,000",1.0377,0.21071,0.25382,,1.02234,,,,
31/12/2022,Antigua and Barbuda,"1,621,000,000",1.08314,0.22245,0.26111,,0.94805,,,,
31/12/2017,Argentina,"643,861,000,000",2.11473,0.34428,0.41121,,0.57028,,,,
31/12/2018,Argentina,"524,431,000,000",2.83959,0.33508,0.38949,,0.85246,,,,
31/12/2019,Argentina,"451,815,000,000",4.36015,0.33308,0.37703,,0.88835,,,,
31/12/2020,Argentina,"389,064,000,000",6.19207,0.33466,0.42092,,1.0279,,,,
31/12/2021,Argentina,"488,605,000,000",9.18961,0.33509,0.38086,,0.80617,,,,
31/12/2022,Argentina,"564,277,000,000",13.94,0.34081,0.37884,,0.74431,,,,
31/12/2017,Armenia,"11,527,000,000",2.07522,0.21242,0.26027,,0.53704,,,,
31/12/2018,Armenia,"12,458,000,000",2.12681,0.22298,0.2405,,0.51233,,,,
31/12/2019,Armenia,"13,619,000,000",2.15749,0.23925,0.24902,,0.50086,,,,
31/12/2020,Armenia,"12,641,000,000",2.18396,0.25247,0.30649,,0.63476,,,,
31/12/2021,Armenia,"13,928,000,000",2.34124,0.24114,0.28703,,0.60288,,,,
31/12/2022,Armenia,"14,047,000,000",2.51938,0.24456,0.28529,,0.63665,,,,
31/12/2017,Aruba,"3,092,000,000",1.16305,0.21971,0.24558,,0.75825,,,,
31/12/2018,Aruba,"3,202,000,000",1.20521,0.22632,0.24589,,0.75004,,,,
31/12/2019,Aruba,"3,310,000,000",1.25267,0.23961,0.23621,,0.72885,,,,
31/12/2020,Aruba,"2,497,000,000",1.23624,0.23969,0.40724,,1.15135,,,,
31/12/2021,Aruba,"3,023,000,000",1.24532,0.20165,0.30374,,1.056,,,,
31/12/2022,Aruba,"3,229,000,000",1.30311,0.20843,0.27227,,1.0549,,,,
31/12/2017,Australia,"1,381,990,000,000",1.112,0.35144,0.36862,23.302,0.4117,,,,
31/12/2018,Australia,"1,416,980,000,000",1.1335,0.35732,0.36991,24.105,0.41764,,,,
31/12/2019,Australia,"1,386,640,000,000",1.1515,0.34642,0.39021,27.954,0.46797,,,,
31/12/2020,Australia,"1,357,320,000,000",1.16175,0.3609,0.44674,34.567,0.57828,,,,
31/12/2021,Australia,"1,633,290,000,000",1.1945,0.35132,0.42837,35.679,0.59806,,,,
31/12/2022,Australia,"1,748,330,000,000",1.24154,0.3381,0.38969,37.473,0.60065,,,,
31/12/2017,Austria,"417,114,000,000",1.2543,0.48483,0.49299,55.92,0.78603,,,,
31/12/2018,Austria,"455,374,000,000",1.28089,0.48909,0.48739,50.718,0.74045,,,,
31/12/2019,Austria,"445,061,000,000",1.3,0.49176,0.48566,47.945,0.70563,,,,
31/12/2020,Austria,"432,912,000,000",1.3181,0.48749,0.5706,59.511,0.83213,,,,
31/12/2021,Austria,"477,400,000,000",1.3544,0.49758,0.55605,60.772,0.83061,,,,
31/12/2022,Austria,"479,815,000,000",1.43003,0.48795,0.52739,59.863,0.80746,,,,
31/12/2017,Azerbaijan,"41,375,000,000",2.43664,0.34229,0.35537,,0.22509,,,,
31/12/2018,Azerbaijan,"47,113,000,000",2.49352,0.38612,0.33078,,0.18685,,,,
31/12/2019,Azerbaijan,"48,174,000,000",2.56115,0.41475,0.32366,,0.17656,,,,
31/12/2020,Azerbaijan,"42,693,000,000",2.63348,0.3372,0.40242,,0.21327,,,,
31/12/2021,Azerbaijan,"54,622,000,000",2.80886,0.36504,0.32171,,0.26447,,,,
31/12/2022,Azerbaijan,"73,369,000,000",3.15435,0.47426,0.27316,,0.15901,,,,
31/12/2017,The Bahamas,"12,360,000,000",1.03065,0.16772,0.22026,,0.54142,,,,
31/12/2018,The Bahamas,"12,838,000,000",1.05402,0.16218,0.19513,,0.61723,,,,
31/12/2019,The Bahamas,"13,164,000,000",1.08028,0.18374,0.20035,,0.59615,,,,
