Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2017,2018,2019,2020,2021,2022,Estimates Start After
Afghanistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",18.883,18.401,18.876,20.136,n/a,n/a,2020
Afghanistan,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Base year: 2015. The base is March 2015=100 Primary domestic currency: Afghan afghani Data last updated: 01/2022,110.998,111.693,114.264,120.671,n/a,n/a,2020
Afghanistan,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,27.059,30.57,26.941,25.694,n/a,n/a,2020
Afghanistan,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,27.732,28.936,27.999,27.937,n/a,n/a,2020
Afghanistan,General government net debt,Percent of GDP,,,,,,,,,
Afghanistan,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,7.998,7.384,6.13,7.397,n/a,n/a,2020
Albania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.053,15.157,15.399,15.161,18.314,17.942,2020
Albania,"Inflation, average consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2020 Notes: CPI basket was revised in 2001, 2007 and 2015. Harmonized prices: No Base year: 2015 Primary domestic currency: Albanian lek Data last updated: 04/2022",103.297,105.393,106.88,108.613,110.831,116.949,2020
Albania,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,27.756,27.485,27.209,25.905,27.03,26.872,2020
Albania,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,29.372,28.802,29.153,32.619,31.557,31.921,2020
Albania,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,65.505,61.47,60.41,69.848,64.621,68.125,2020
Albania,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,71.895,69.466,67.285,75.927,74.206,74.07,2020
