Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,28/3/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.677781348,0.647987934,0.666844105,0.60625906,0.984955304,0.925388446,0.86922444,0.870549712,0.883841941,0.890780869,0.780803428,0.73141403,0.674220114,0.646816205,0.628970101,,0.592858689,0.581698074,0.573961081,0.619845494,0.688065289,0.670414496,0.642382374,0.629030269,0.6052819,0.538655326,0.514660593,0.511736564,0.497166127,0.435665062,0.415564273,0.386162633,0.356760993
Afghanistan,AFG,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.702300868,1.522712269,1.316624491,1.199190946,9.662676713,10.45557295,10.11774556,9.126623227,8.805289514,8.713139065,,2.43859714,2.447185041,0.487494414,0.466680483,0.84035095,0.833893214,1.513632759,3.931710654,4.552883268,4.796595326,4.496158354,4.195231735,3.727055016,3.700732407,3.623538777,3.490158887,2.952593722,3.015078756,1.812045225,2.076274437,1.798157232,1.520040028
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.436262596,0.359462159,0.338791553,0.326083115,0.416668442,0.41377237,0.415395231,0.384354046,0.380849112,0.366805125,0.426326885,0.424737955,0.408198633,0.353543839,0.365730067,,0.346289282,0.335425056,0.328129624,0.325264497,0.31310635,0.307379659,0.304500152,0.301808284,0.321452566,0.313934275,0.317382883,0.324083698,0.382851379,0.329197509,0.357975045,0.365657714,0.373340383
Angola,AGO,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.972767075,2.45989979,2.387065239,2.170443479,2.13583415,1.799635912,2.049843371,2.035225172,1.944121229,1.731120328,2.069276534,1.509726274,1.720817939,1.505469575,1.450896439,1.303019725,1.335206731,1.2866019,1.239965289,1.194646025,1.149768444,1.11139334,1.074739004,1.039857655,1.006577251,0.974068223,0.942359039,0.91221498,0.883277718,0.852243549,0.819900541,0.788782876,0.757665211
Albania,ALB,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56208542,4.636438987,4.703410189,6.380171166,5.045665138,4.989226965,5.041312623,5.10569546,5.132876875,3.10607118,2.064057647,1.699042435,1.678157492,1.776598643,0.920030177,1.177427816,1.19622455,1.171245738,1.160425135,1.062067208,1.110111801,0.692216232,0.676692328,0.649676729,0.627307199,0.653443393,0.638574588,0.558267807,0.588358157,0.565109605,0.549518427,0.53392725
Andorra,AND,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.965798768,3.593151554,3.45804393,3.254040672,4.321877609,4.317178687,4.262877109,4.192870417,3.866707762,3.859164652,3.855910397,3.752127459,3.630767968,3.253776408,3.25231914,3.675848398,3.215050819,3.317134754,3.236209241,3.194567527,3.044429541,2.966595354,2.358213965,2.332262491,2.339174887,2.208433708,2.159778044,2.212382055,2.187406567,2.287408496,2.184670853,2.169165486,2.153660119
United Arab Emirates,ARE,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.277810224,4.889180067,4.571341182,4.687675788,5.224414351,4.528065016,4.241953241,3.96368658,3.700548246,3.48246736,3.254701071,1.915666366,2.186222899,2.033631382,1.909101322,1.646687929,1.353096322,1.11900534,0.96246191,0.897082635,0.881919915,0.86748975,1.054625941,1.03850753,1.023416085,1.008943726,0.995492473,0.983613314,0.972296795,0.970490914,0.951591714,0.939748184,0.927904654
Argentina,ARG,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.504764799,0.455326004,0.4422507,0.457951735,0.647964802,0.666300983,0.651785727,0.639233312,0.619975571,0.616694369,0.608364051,0.613036689,0.605245639,0.585360815,0.581332225,0.598524687,0.596962365,0.595550348,0.569406064,0.571542288,0.559100065,0.55401512,0.557105091,0.554601298,0.548376877,0.543436893,0.536242046,0.523304771,0.499818585,0.530747518,0.506816849,0.500073633,0.493330417
