Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,28/3/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,732300,,,,912000,922000,814000,800000,850000,794000,1342300,1296000,1248390,1284350,1341150,1387500,1239200,1196200,1135900,1118650,1123450,,1116450,1124450,1147823,1287823,1474402,1475640,1456740,1467840,1458640,1336740,1314000,1343720,1344000,1200000,1205588.571,1168952.143,1132315.714
Afghanistan,AFG,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,47000,,,,55000,58000,45000,45000,45000,45000,383000,429000,429000,400000,400000,400000,,120000,130000,27000,27000,51000,51000,94000,255745,306800,340350,338150,330650,308800,319400,323000,323000,272900,278000,165000,203685.7143,183532.1429,163378.5714
Africa Western and Central,AFW,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,218530,,,,326000,334000,334000,283000,271000,268000,356000,363600,375270,357100,363650,337700,403600,413350,408200,381800,410800,,410000,407000,407988,389358,384420,385170,389170,419170,457670,459800,476000,499750,607000,532000,589784.2857,613966.4286,638148.5714
Angola,AGO,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,49500,,,,107000,115000,150000,128000,128000,120000,122000,106400,125500,129000,127500,117500,145500,110000,130000,118000,118000,110000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000
Albania,ALB,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,40400,,,,,,,65000,65000,65000,86500,67500,67500,67500,67500,67500,40500,27000,22000,21500,22500,11500,14500,14500,14745,14745,14750,14750,8500,8500,8500,8500,9000,9000,8000,8000,8214.285714,8142.857143,8071.428571
Andorra,AND,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,2712700,,,,2885000,3340000,2422000,2276000,2276000,2223000,3089500,3173100,3223150,3256750,3125800,3200800,3200400,3166200,3164800,2929000,3051000,3260000,3264000,3480000,3578675,3598680,3513260,3542060,2866760,2881760,2881560,2781410,2737000,2846300,2899000,3070000,2965931.429,2989663.214,3013395
United Arab Emirates,ARE,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,43000,,,,43000,66000,66000,55000,55000,60000,71000,65500,65500,65500,65500,66000,66000,41500,50500,50000,51000,51000,51000,51000,51000,51000,51000,51000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000
Argentina,ARG,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,108000,,,,95000,85000,70000,65000,65000,69000,98500,103700,104240,104240,101740,102300,101300,101100,102600,102000,102000,107000,107000,107000,104340,104340,104350,104350,105650,105650,105450,105450,105000,105200,103000,103000,102807.1429,102339.2857,101871.4286
Armenia,ARM,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,21000,45000,61000,58400,61000,54400,54400,42300,43000,45600,45600,49000,49000,47000,42000,42000,55570,55528,55544,49100,49100,49100,49100,49100,49000,48800,49000,47000,47757.14286,47514.28571,47271.42857
American Samoa,ASM,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,200,200,150,150,200,200,200,200,200,170,170,170,170,,170,170,180,180,180,180,180,180,0,0,0,0,-77.14285714,-115.7142857,-154.2857143
Australia,AUS,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,70400,,,,70000,68000,68000,68000,68000,65000,57100,58800,58400,58400,56200,51600,51700,50900,53600,52000,53000,51000,55000,55000,56552,56552,57050,56200,56750,56750,57800,57800,58000,58100,59000,60000,59985.71429,60430.35714,60875
Austria,AUT,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,54700,,,,48000,43000,44000,44000,45000,45000,55800,55800,45500,45500,40500,40500,34600,34600,34600,39000,40000,40000,35000,35000,25900,25758,23250,22800,22500,22500,21350,22400,21000,22850,22000,23000,22621.42857,22737.5,22853.57143
Azerbaijan,AZE,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43000,45000,50000,126700,110700,106700,87150,84900,87100,87100,87100,81500,81000,82000,82000,82000,82000,81940,81940,81950,81950,81950,81950,81950,81950,82000,81950,82000,82000,82007.14286,82016.07143,82025
Burundi,BDI,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,5200,,,,11000,12000,12000,13000,13000,17000,14600,22000,22000,43500,45500,45500,51000,51000,56000,81000,82000,,51000,51000,51050,51050,51050,51000,51050,51050,41000,51050,31000,51050,51000,31000,38142.85714,36708.92857,35275
Belgium,BEL,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,91600,,,,110000,106000,101000,79000,70000,53000,47200,46300,44450,43700,41750,39300,39400,39200,40800,36000,37000,40000,39000,39000,39482,35736,34050,30700,37500,37600,36350,33800,32000,31500,26000,24000,22492.85714,20214.28571,17935.71429
Benin,BEN,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,4500,,,,5000,6000,7000,7000,8000,8000,7300,7300,7300,7300,7300,7300,7300,7100,7100,6000,8000,,8000,8000,7250,7250,9450,9450,9450,9450,9750,9750,12000,12250,12000,12000,13121.42857,13644.64286,14167.85714
Burkina Faso,BFA,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,,8000,10000,10000,9000,9000,9000,10300,10300,10000,10250,10300,11300,14200,14400,15000,10250,11250,,11250,11250,11450,11450,11450,11450,11450,11450,11450,11450,11000,11200,11000,11000,10864.28571,10775,10685.71429
Bangladesh,BGD,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,91300,,,,103000,103000,107000,107000,107000,113000,170500,167200,170700,170700,192200,137000,200200,200200,188700,251000,252000,214000,221000,221000,220953,220953,220950,220950,220950,220950,220950,220950,221000,227050,227000,227000,228750,230048.2143,231346.4286
Bulgaria,BGR,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,148500,,,,150000,129000,107000,99000,52000,80000,135900,137500,135500,135500,114760,113800,111300,102400,85000,85000,85000,75000,75000,75000,65315,65315,47300,47300,47300,47300,47300,31300,31000,36950,37000,37000,31714.28571,30076.78571,28439.28571
