,country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population)_x,Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI),Quality Of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living,Property price to income ratio,Traffic commute time index,Pollution index,Climate index,Gross Rental Yield City Center,Gross Rental Yield Outside Center,Property Price to Rent Ratio City Center,Property Price to Rent Ratio Outside Center,Mortgate as percentage of income,Affordability Index,Cost Of Living Index,Rent Index,Cost Of Living Plus Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Access to electricity (% of population),Adjusted net national income per capita (constant 2010 US$),Age dependency ratio (% of working-age population),"Air transport, freight (million ton-km)","Air transport, passengers carried",Commercial service exports (current US$),Commercial service imports (current US$),Consumer price index (2010 = 100),Current account balance (% of GDP),Current health expenditure (% of GDP),Exports of goods and services (% of GDP),Gross domestic savings (% of GDP),High-technology exports (current US$),Human capital index (HCI) (scale 0-1),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Military expenditure (% of GDP),"Population, female","Population, male",Tax revenue (% of GDP),"Taxes on income, profits and capital gains (% of revenue)",Urban population (% of total population)_y
0,Argentina,SouthAmerica,2780400,44271,16.2,95.9,632343,2.4,14564.5,6,27.8,66.2,2,24.8,73.1,6.5,48.6/74.4,119,119,57733,55610,2124,-15944,1,91.8,1,2.3,24.9/15.4,2086.3/4.8,5,13.7,4.8,3.8,5.3,109.8/110.2,110.3/103.4,102.9/63.5,38.9,143.9,69.4,256,10,204.0/4.7,3167,85,99.0/100.0,96.2/98.3,0.01,-99,139.59,58.4,37.37,73.3,52.57,12.07,37.95,53.33,90.67,3.77,3.9,26.53,25.64,333.23,0.3,52.57,13.92,34.05,44.06,50.37,58.4,100,9094.367252,56.04635544,305.102,16749271,15274156208,24982416353,112.8871083,-4.848849811,9.124314785,11.24272132,16.01934239,1494147748,0.611,13.98061064,,79.726,72.924,76.372,0.856137916,22572521,21472290,10.95550149,12.92991285,91.749
1,Australia,Oceania,7692060,24451,3.2,99.3,1230859,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,58.4/70.7,111,111,189630,189406,224,-57746,1.5,89.4,1.5,1.9,19.0/21.0,6763.7/28.2,58.2,3.9,9.4,3.4,5.2,102.1/102.3,133.6/141.3,106.3/75.4,28.7,132.8,84.6,948,16.2,361.3/15.3,15282,222,100.0/100.0,100.0/100.0,-99,-99,176.54,101.94,57.58,74.25,80.66,9.24,34.73,24.58,72.79,4.9,5.05,20.41,19.82,70.87,1.41,80.66,42.54,62.39,76.87,77.12,101.94,100,43073.96717,52.5996706,1982.586171,74257326,64296388330,67392204901,115.6867846,-2.689996524,9.205947816,21.19320015,24.68719293,4837243928,0.803,20.57679997,1.948647409,84.6,80.5,82.5,2.007966393,12349632,12252228,21.91585863,64.11030564,85.904
2,Austria,WesternEurope,83871,8736,106,96.2,376967,1,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,54.6/65.8,108,108,145503,149299,-3795,7020,0.6,66,0.4,1.4,14.1/25.1,1492.4/17.5,166.4,3.3,11.2,5.2,5.5,102.2/103.7,97.6/102.4,89.2/74.3,30.6,157.4,83.9,118,46.9,58.7/6.9,505,158,100.0/100.0,100.0/100.0,-99,-99,190.37,95.66,80.75,80.91,71.52,9.66,26.27,21.9,62.13,3.63,3.78,27.55,26.46,59.08,1.69,71.52,25.86,49.64,65.86,66.94,95.66,100,39557.66799,49.6725857,391.268,16171640,66403956922,55455087774,113.9997367,1.534514068,10.39661691,54.03767102,28.29136287,17027611644,0.793,50.7355053,2.081268583,84,79.4,81.64390244,0.756179042,4478340,4319226,25.35523698,27.02407336,58.094
3,Belarus,EasternEurope,207600,9468,46.7,87,54609,-3.9,5750.8,7.5,38.9,53.6,9.6,32,58.4,0.5,54.0/67.8,122,122,23414,27464,-4050,-2037,~0.0,76.7,~0.0,1.6,16.7/21.3,1082.9/11.4,7.9,3.6,5.7,4.1,4.9,101.3/101.4,106.4/107.8,100.7/75.9,34.5,123.6,62.2,25,42.5,63.5/6.7,155,122,99.9/99.1,94.1/95.2,0.2,-99,119.23,36.43,77.74,53.76,33.84,18.73,27.66,39.64,20.07,5.31,4.82,18.85,20.75,587.51,0.17,33.84,12.21,23.47,27.19,37.6,36.43,100,5923.223118,45.52442109,1.9151,2493100,7883700000,4820200000,,-1.740287324,5.92578575,66.7896002,29.89119437,687613900,,66.57815452,6.031837252,79.2,69.3,74.12926829,1.162416943,5077542,4420722,13.01900561,2.933100635,78.134
4,Belgium,WesternEurope,30528,11429,377.5,97.3,455107,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,8.3,48.1/58.9,108,107,398033,372713,25321,1936,0.6,97.9,0.5,1.8,17.1/24.6,1387.9/12.3,63.8,3.5,10.6,3,6.6,104.2/104.2,177.7/156.4,85.4/65.0,38,115.7,85.1,37,22.6,93.4/8.3,520,196,100.0/100.0,99.5/99.4,-99,-99,160.52,91.02,55.49,78.92,75.36,6.96,36.26,48.92,75.16,5.82,5.92,17.18,16.88,44.69,2.24,75.36,29.64,53.44,65.77,82.34,91.02,100,38493.27244,55.3290794,1574.378609,13676844,1.15167E+11,1.14004E+11,113.1289026,1.226775036,10.33866927,82.38680625,25.50499309,34397964674,0.757,80.99182746,2.12597086,83.9,79.2,81.49268293,0.910370733,5766141,5609017,23.39972096,33.72774639,97.961
5,Bosnia and Herzegovina,SouthernEurope,51209,3507,68.8,96.4,16251,3.1,4265,7.3,26.5,66.2,18,30.4,51.7,25.4,34.3/57.5,96,97,5327,9130,-3803,-923,-1,39.8,0.1,1.3,14.1/23.4,34.8/0.9,157.6,7.6,9.6,1.9,-99,-99,-99,-99,21.4,90.2,65.1,91,42.7,22.2/5.8,252,85,99.7/100.0,98.9/92.0,2.2,-99,139.14,51.29,59.03,61.49,35.05,11.35,26.63,60.69,73.29,3.41,3.31,29.36,30.18,104.89,0.95,35.05,6.22,21.23,29.76,24.22,51.29,100,5061.666904,43.97906681,,,2006406621,657386055.1,102.8515861,-4.339925051,8.931667358,40.83058781,1.771104674,236675619,0.618,57.04359003,0.810133322,79.581,74.622,77.128,0.906093302,1709258,1642269,20.25933741,8.226837147,47.876
6,Brazil,SouthAmerica,8515767,209288,25,96.6,1772591,-3.8,8528.3,5.2,22.7,72,15.2,21.5,63.2,12.4,56.0/78.2,135,136,185235,137552,47683,-58882,0.9,85.7,1.2,1.8,21.7/12.6,713.6/0.3,41.1,15.8,8.3,1.9,6,113.8/116.8,102.2/97.2,59.3/42.4,10.7,126.6,59.1,990,59.2,529.8/2.6,10948,61,100.0/87.0,88.0/51.5,0.06,-99,96.15,42.38,29.38,51.7,53.07,16.96,46.39,61.17,70.76,4.01,4.02,24.92,24.85,224.6,0.45,53.07,15.52,35.07,41.65,42.33,42.38,100,9359.891696,43.45006075,1736.549227,96395709,33676596773,70369731834,155.6687862,-0.727859993,9.467476606,12.52307537,15.34882329,10756516887,0.56,11.80463836,3.44637335,79.156,71.804,75.456,1.419526638,105601740,102232091,13.61578088,24.96226113,86.309
7,Bulgaria,EasternEurope,111002,7085,65.3,94.6,48953,3,6846.8,5.1,27.6,67.2,6.5,29.4,64.1,8.1,48.5/60.1,117,119,26088,28875,-2787,196,-0.6,73.9,-0.3,1.5,14.2/27.7,102.1/1.4,33.7,8.3,8.4,4,4.1,96.7/97.7,97.4/100.5,82.9/65.4,19.2,129.3,56.7,104,35.1,42.4/5.9,474,103,99.6/99.0,86.8/83.7,-99,-99,138.2,51.4,59.82,54.03,36.49,9.07,27.92,63.12,77.05,5.36,5.68,18.65,17.59,77.24,1.29,36.49,8.91,23.27,30.49,29.56,51.4,100,7224.353985,54.32655136,1.71896,1133069,9383450000,5879280000,107.9389572,3.599568277,8.095603436,67.30355987,24.22519065,1684916675,0.676,62.96800888,2.064355063,78.4,71.4,74.81463415,1.421706257,3636886,3439061,20.10815153,16.86693627,74.669
8,Canada,NorthernAmerica,9984670,36624,4,98.5,1552808,0.9,43205.6,1.8,28.6,69.6,2.1,19.5,78.4,7.1,60.7/69.9,109,109,388911,402954,-14043,-53083,1,81.8,1.2,1.6,16.0/23.5,7835.5/21.8,155.8,4.7,10.4,2.5,5.3,101.1/100.1,110.0/109.8,.../...,26.3,81.9,88.5,122,38.2,537.2/15.1,19276,324,100.0/99.0,100.0/99.0,-99,-99,167.18,108.01,60.75,69.23,70.16,6.4,36.24,26.54,44.31,5.47,6.16,18.29,16.23,42.14,2.37,70.16,29.84,50.83,69.26,65.65,108.01,100,41350.06993,48.61607453,2840.985135,91404001,93063926790,1.11157E+11,111.9848311,-2.814046464,10.57276949,31.41052736,21.32280171,27599664924,0.799,33.62321453,1.596884129,84.1,79.9,81.94878049,1.293395107,18418770,18124551,12.71543178,54.91202346,81.35
9,Chile,SouthAmerica,756102,18055,24.3,98.2,240796,2.3,13416.2,3.9,32.8,63.3,9.6,22.9,67.5,6.8,50.7/74.7,111,111,59884,58804,1080,-4761,0.9,89.5,1.1,1.8,20.3/16.0,469.4/2.6,3.7,7.4,7.8,...,4.9,100.0/103.3,101.3/100.0,94.4/83.0,15.8,129.5,64.3,197,23.4,82.6/4.7,540,85,99.7/93.3,100.0/90.9,0.02,-99,136.2,61.28,52.5,60.97,50.09,10.67,35.7,67.67,89.39,4.42,5.06,22.64,19.77,83.59,1.2,50.09,15.43,33.48,43.19,44.38,61.28,100,10980.763,45.38283894,1237.960141,17664974,9763417564,13194488377,125.5665448,-2.15290831,8.983509988,28.43950047,22.47991882,623854353,0.674,27.21616508,2.182718469,82.333,77.333,79.909,1.935612733,9373185,9097254,17.46282629,36.5514783,87.49
