Category,Country,Province,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
All theft not mentioned elsewhere,South Africa,Western Cape,6692,6341,5966,5187,4985,5127,5285,5937,5600,5335,5176
Arson,South Africa,Limpopo,65,81,56,59,49,32,43,59,34,46,33
Assault with the intent to inflict grievous bodily harm,South Africa,Gauteng,1984,1703,1682,1658,1338,1365,1192,898,1026,1010,1069
Attempted murder,South Africa,Kwazulu/Natal,437,450,346,352,314,291,257,259,202,245,227
Bank robbery,South Africa,Gauteng,3,2,1,0,0,0,0,0,0,0,0
Burglary at non-residential premises,South Africa,Eastern Cape,848,988,973,694,740,589,448,500,514,569,529
Burglary at residential premises,South Africa,Western Cape,2079,2308,2217,2199,2066,1934,1798,1689,1417,1177,1086
Carjacking,South Africa,Gauteng,404,349,340,231,258,192,199,125,224,220,207
Commercial crime,South Africa,Gauteng,2585,2740,2844,2870,2867,2386,2475,1680,1296,1188,1137
Common assault,South Africa,Western Cape,2657,2339,2131,2735,2749,2444,2810,2757,2185,1847,2079
Common robbery,South Africa,Gauteng,1510,1610,1507,1242,1400,1338,1010,1089,1272,1681,1322
Driving under the influence of alcohol or drugs,South Africa,Eastern Cape,592,484,483,652,784,782,570,604,527,462,356
Drug-related crime,South Africa,Western Cape,3064,3683,4792,5699,6571,6260,5850,6310,6044,4768,4609
Illegal possession of firearms and ammunition,South Africa,Western Cape,185,209,149,162,133,163,143,177,211,253,225
Malicious damage to property,South Africa,Western Cape,1651,1845,1747,1572,1647,1509,1524,1533,1406,1363,1308
Murder,South Africa,Western Cape,282,302,266,206,215,197,232,261,305,300,279
Robbery at non-residential premises,South Africa,Gauteng,343,401,286,259,263,287,182,205,214,214,165
Robbery at residential premises,South Africa,Kwazulu/Natal,308,232,208,242,198,121,57,87,101,106,103
Robbery of cash in transit,South Africa,Gauteng,16,9,3,2,3,21,9,12,10,5,0
Robbery with aggravating circumstances,South Africa,Kwazulu/Natal,2721,3214,2134,1966,1371,899,924,885,951,982,1024
Sexual Offences,South Africa,Eastern Cape,664,223,240,203,247,262,252,302,50,250,243
Sexual offences as result of police action,South Africa,Eastern Cape,0,0,0,0,0,0,0,0,0,0,0
Shoplifting,South Africa,Kwazulu/Natal,1802,1517,1481,1787,2570,1843,1958,1840,1694,1589,1426
Stock-theft,South Africa,Eastern Cape,451,436,356,406,304,288,216,172,130,121,120
Theft of motor vehicle and motorcycle,South Africa,Kwazulu/Natal,1919,1842,1267,1151,873,670,584,668,620,570,618
Theft out of or from motor vehicle,South Africa,Western Cape,3468,2924,2329,1856,2905,3051,3474,3294,3612,3441,3509
Truck hijacking,South Africa,Gauteng,33,39,16,29,30,26,20,16,27,21,32
