Year ,Voice and Accountability,Political Stability No Violence,Government Effectiveness,Regulatory Quality,Rule of Law,Control of Corruption
2006,-2.08,-0.9,-1.3,-2.07,-1.19,-0.35
2007,-2.12,-1.05,-1.29,-2.11,-1.28,-0.44
2008,-2.16,-0.71,-1.3,-2.18,-1.3,-0.39
2009,-2.2,-0.68,-1.37,-2.24,-1.31,-0.49
2010,-2.2,-0.88,-1.36,-2.24,-1.35,-0.56
2011,-2.23,-0.77,-1.41,-2.21,-1.35,-0.63
2012,-2.21,-0.7,-1.45,-2.24,-1.39,-0.78
2013,-2.2,-0.77,-1.52,-2.23,-1.41,-0.9
2014,-2.11,-0.81,-1.61,-2.13,-1.53,-0.89
2015,-2.11,-0.88,-1.59,-2.11,-1.49,-1.3
2016,-2.17,-0.66,-1.7,-2.19,-1.63,-1.31
2017,-2.17,-0.73,-1.71,-2.19,-1.56,-1.2
2018,-2.19,-0.61,-1.72,-2.22,-1.58,-1.31
2019,-2.21,-0.7,-1.76,-2.28,-1.6,-1.39
2020,-2.08,-0.98,-1.62,-2.34,-1.47,-1.33
