Year ,Voice and Accountability,Political Stability No Violence,Government Effectiveness,Regulatory Quality,Rule of Law,Control of Corruption
2006,1.5,1.26,1.59,1.7,1.81,2.33
2007,1.48,1.24,1.66,1.71,1.84,2.33
2008,1.48,1.16,1.68,1.8,1.86,2.31
2009,1.48,1.07,1.85,1.83,1.93,2.39
2010,1.51,1.24,1.82,1.81,1.87,2.34
2011,1.58,1.38,1.88,1.97,1.9,2.3
2012,1.62,1.36,1.8,1.85,1.89,2.32
2013,1.61,1.45,1.76,1.83,1.88,2.34
2014,1.52,1.47,1.93,1.95,2.01,2.25
2015,1.55,1.53,1.88,1.92,2,2.28
2016,1.53,1.52,1.84,2.04,1.95,2.28
2017,1.56,1.6,1.77,2.09,1.93,2.24
2018,1.59,1.53,1.67,2.01,1.88,2.17
2019,1.54,1.41,1.67,1.88,1.89,2.17
2020,1.6,1.49,1.59,1.88,1.88,2.15
