Reporting Economy,Continent,Commercial services traded,Date,Value
Albania,Europe,Manufacturing services on physical inputs owned by others,31/12/2018,"492,233,000"
Albania,Europe,Manufacturing services on physical inputs owned by others,31/12/2016,"328,569,000"
Albania,Europe,Manufacturing services on physical inputs owned by others,31/12/2014,"267,697,000"
Albania,Europe,Manufacturing services on physical inputs owned by others,31/12/2017,"379,264,000"
Albania,Europe,Manufacturing services on physical inputs owned by others,31/12/2013,"197,654,000"
Albania,Europe,Manufacturing services on physical inputs owned by others,31/12/2021,"593,707,000"
Albania,Europe,Manufacturing services on physical inputs owned by others,31/12/2020,"502,155,000"
Albania,Europe,Manufacturing services on physical inputs owned by others,31/12/2019,"506,102,000"
Albania,Europe,Manufacturing services on physical inputs owned by others,31/12/2015,"268,719,000"
Albania,Europe,"Goods for processing in reporting economy – Goods returned , Goods received",31/12/2016,"1,171,261,000"
Albania,Europe,"Goods for processing in reporting economy – Goods returned , Goods received",31/12/2019,"1,702,705,000"
Albania,Europe,"Goods for processing in reporting economy – Goods returned , Goods received",31/12/2020,"1,609,529,000"
Albania,Europe,"Goods for processing in reporting economy – Goods returned , Goods received",31/12/2015,"1,073,015,000"
Albania,Europe,"Goods for processing in reporting economy – Goods returned , Goods received",31/12/2021,"2,066,525,000"
Albania,Europe,"Goods for processing in reporting economy – Goods returned , Goods received",31/12/2018,"1,708,026,000"
Albania,Europe,"Goods for processing in reporting economy – Goods returned , Goods received",31/12/2017,"1,398,714,000"
Albania,Europe,"Goods for processing in reporting economy – Goods returned , Goods received",31/12/2014,"1,188,277,000"
Albania,Europe,"Goods for processing in reporting economy – Goods returned , Goods received",31/12/2013,"930,536,000"
Albania,Europe,"Goods for processing abroad - Goods sent , Goods returned",31/12/2017,"5,297,000"
Albania,Europe,"Goods for processing abroad - Goods sent , Goods returned",31/12/2018,"4,089,000"
Albania,Europe,"Goods for processing abroad - Goods sent , Goods returned",31/12/2019,"2,872,000"
Albania,Europe,"Goods for processing abroad - Goods sent , Goods returned",31/12/2016,"3,371,000"
Albania,Europe,"Goods for processing abroad - Goods sent , Goods returned",31/12/2013,"2,058,000"
Albania,Europe,"Goods for processing abroad - Goods sent , Goods returned",31/12/2015,"2,704,000"
Albania,Europe,"Goods for processing abroad - Goods sent , Goods returned",31/12/2020,"3,313,000"
Albania,Europe,"Goods for processing abroad - Goods sent , Goods returned",31/12/2014,"2,810,000"
Albania,Europe,"Goods for processing abroad - Goods sent , Goods returned",31/12/2021,"2,287,000"
Albania,Europe,Maintenance and repair services n.i.e.,31/12/2020,"7,769,000"
Albania,Europe,Maintenance and repair services n.i.e.,31/12/2019,"6,204,000"
Albania,Europe,Maintenance and repair services n.i.e.,31/12/2014,"9,000,000"
Albania,Europe,Maintenance and repair services n.i.e.,31/12/2013,"5,549,000"
Albania,Europe,Maintenance and repair services n.i.e.,31/12/2018,"8,836,000"
Albania,Europe,Maintenance and repair services n.i.e.,31/12/2017,"7,937,000"
Albania,Europe,Maintenance and repair services n.i.e.,31/12/2016,"20,591,000"
Albania,Europe,Maintenance and repair services n.i.e.,31/12/2015,"8,933,000"
Albania,Europe,Maintenance and repair services n.i.e.,31/12/2021,"6,664,000"
Albania,Europe,Transport,31/12/2017,"268,307,000"
Albania,Europe,Transport,31/12/2013,"253,219,000"
Albania,Europe,Transport,31/12/2015,"174,954,000"
Albania,Europe,Transport,31/12/2014,"192,770,000"
Albania,Europe,Transport,31/12/2020,"203,363,000"
Albania,Europe,Transport,31/12/2016,"202,427,000"
Albania,Europe,Transport,31/12/2018,"305,755,000"
Albania,Europe,Transport,31/12/2021,"390,181,000"
Albania,Europe,Transport,31/12/2019,"272,423,000"
Albania,Europe,Sea transport,31/12/2021,"33,748,000"
Albania,Europe,Sea transport,31/12/2019,"14,871,000"
Albania,Europe,Sea transport,31/12/2017,"132,908,000"
Albania,Europe,Sea transport,31/12/2015,"111,752,000"
Albania,Europe,Sea transport,31/12/2018,"126,202,000"
Albania,Europe,Sea transport,31/12/2016,"128,003,000"
Albania,Europe,Sea transport,31/12/2020,"5,882,000"
Albania,Europe,Sea transport,31/12/2013,"48,749,000"
Albania,Europe,Sea transport,31/12/2014,"145,655,000"
Albania,Europe,Passenger (Sea),31/12/2013,"38,617,000"
Albania,Europe,Passenger (Sea),31/12/2017,"103,176,000"
Albania,Europe,Passenger (Sea),31/12/2014,"143,561,000"
Albania,Europe,Passenger (Sea),31/12/2021,"18,082,000"
Albania,Europe,Passenger (Sea),31/12/2020,"642,000"
Albania,Europe,Passenger (Sea),31/12/2019,"9,567,000"
Albania,Europe,Passenger (Sea),31/12/2016,"124,052,000"
Albania,Europe,Passenger (Sea),31/12/2015,"111,124,000"
Albania,Europe,Passenger (Sea),31/12/2018,"104,581,000"
Albania,Europe,Freight (Sea),31/12/2013,"9,267,000"
Albania,Europe,Freight (Sea),31/12/2017,"6,632,000"
Albania,Europe,Freight (Sea),31/12/2018,"17,398,000"
Albania,Europe,Freight (Sea),31/12/2015,"408,000"
Albania,Europe,Freight (Sea),31/12/2014,"1,665,000"
Albania,Europe,Freight (Sea),31/12/2019,"3,589,000"
Albania,Europe,Freight (Sea),31/12/2016,"405,000"
Albania,Europe,Freight (Sea),31/12/2020,"4,449,000"
Albania,Europe,Freight (Sea),31/12/2021,"14,918,000"
Albania,Europe,Air transport,31/12/2020,"77,909,000"
Albania,Europe,Air transport,31/12/2013,"167,766,000"
Albania,Europe,Air transport,31/12/2018,"101,857,000"
Albania,Europe,Air transport,31/12/2021,"64,016,000"
Albania,Europe,Air transport,31/12/2017,"79,197,000"
Albania,Europe,Air transport,31/12/2014,"33,151,000"
Albania,Europe,Air transport,31/12/2015,"36,292,000"
Albania,Europe,Air transport,31/12/2016,"46,823,000"
Albania,Europe,Air transport,31/12/2019,"104,359,000"
Albania,Europe,Passenger (Air),31/12/2017,"1,689,000"
Albania,Europe,Passenger (Air),31/12/2020,"13,221,000"
Albania,Europe,Passenger (Air),31/12/2015,"433,000"
Albania,Europe,Passenger (Air),31/12/2014,"3,139,000"
Albania,Europe,Passenger (Air),31/12/2021,"6,812,000"
Albania,Europe,Passenger (Air),31/12/2018,"2,621,000"
Albania,Europe,Passenger (Air),31/12/2013,"157,085,000"
Albania,Europe,Passenger (Air),31/12/2016,"1,457,000"
Albania,Europe,Passenger (Air),31/12/2019,"7,178,000"
Albania,Europe,Freight (Air),31/12/2021,"252,000"
Albania,Europe,Freight (Air),31/12/2020,"608,000"
Albania,Europe,Freight (Air),31/12/2016,0
Albania,Europe,Freight (Air),31/12/2019,"124,000"
Albania,Europe,Freight (Air),31/12/2017,"490,000"
Albania,Europe,Freight (Air),31/12/2014,"38,000"
Albania,Europe,Freight (Air),31/12/2015,0
Albania,Europe,Freight (Air),31/12/2018,"312,000"
Albania,Europe,Freight (Air),31/12/2013,0
Albania,Europe,Postal and courier services,31/12/2013,"4,965,000"
Albania,Europe,Postal and courier services,31/12/2020,"8,129,000"
Albania,Europe,Postal and courier services,31/12/2021,"16,025,000"
Albania,Europe,Postal and courier services,31/12/2015,"1,804,000"
Albania,Europe,Postal and courier services,31/12/2016,"1,968,000"
Albania,Europe,Postal and courier services,31/12/2014,"4,141,000"
Albania,Europe,Postal and courier services,31/12/2019,"4,013,000"
Albania,Europe,Postal and courier services,31/12/2018,"3,219,000"
Albania,Europe,Postal and courier services,31/12/2017,"2,372,000"
Albania,Europe,Travel,31/12/2015,"1,499,454,000"
Albania,Europe,Travel,31/12/2013,"1,473,314,000"
Albania,Europe,Travel,31/12/2021,"2,257,058,000"
Albania,Europe,Travel,31/12/2017,"1,943,242,000"
Albania,Europe,Travel,31/12/2018,"2,185,727,000"
Albania,Europe,Travel,31/12/2016,"1,692,641,000"
Albania,Europe,Travel,31/12/2014,"1,699,790,000"
Albania,Europe,Travel,31/12/2019,"2,328,598,000"
Albania,Europe,Travel,31/12/2020,"1,134,176,000"
Albania,Europe,Business,31/12/2018,"352,062,000"
Albania,Europe,Business,31/12/2017,"377,093,000"
Albania,Europe,Business,31/12/2014,"330,438,000"
Albania,Europe,Business,31/12/2015,"339,513,000"
Albania,Europe,Business,31/12/2016,"349,965,000"
Albania,Europe,Business,31/12/2021,"52,239,000"
Albania,Europe,Business,31/12/2019,"348,635,000"
Albania,Europe,Business,31/12/2020,"147,265,000"
Albania,Europe,Business,31/12/2013,"308,089,000"
Albania,Europe,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2014,"5,798,000"
Albania,Europe,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2018,"1,458,000"
Albania,Europe,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2013,"6,055,000"
Albania,Europe,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2016,"32,647,000"
Albania,Europe,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2015,"211,000"
Albania,Europe,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2019,"1,270,000"
Albania,Europe,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2021,0
Albania,Europe,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2017,"15,764,000"
Albania,Europe,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2020,0
Albania,Europe,Personal,31/12/2016,"1,342,699,000"
Albania,Europe,Personal,31/12/2015,"1,159,953,000"
Albania,Europe,Personal,31/12/2019,"1,979,963,000"
Albania,Europe,Personal,31/12/2021,"2,204,819,000"
Albania,Europe,Personal,31/12/2014,"1,369,339,000"
Albania,Europe,Personal,31/12/2013,"1,165,225,000"
Albania,Europe,Personal,31/12/2017,"1,566,161,000"
Albania,Europe,Personal,31/12/2018,"1,833,662,000"
Albania,Europe,Personal,31/12/2020,"986,911,000"
Albania,Europe,Health-related,31/12/2020,"12,067,000"
Albania,Europe,Health-related,31/12/2014,"64,867,000"
Albania,Europe,Health-related,31/12/2021,"96,694,000"
Albania,Europe,Health-related,31/12/2019,"56,184,000"
Albania,Europe,Health-related,31/12/2015,"40,406,000"
Albania,Europe,Health-related,31/12/2016,"38,642,000"
Albania,Europe,Health-related,31/12/2018,"49,787,000"
Albania,Europe,Health-related,31/12/2017,"40,393,000"
Albania,Europe,Health-related,31/12/2013,"18,071,000"
Albania,Europe,Education-related,31/12/2021,"1,766,000"
Albania,Europe,Education-related,31/12/2019,"34,275,000"
Albania,Europe,Education-related,31/12/2014,"73,392,000"
Albania,Europe,Education-related,31/12/2015,"26,235,000"
Albania,Europe,Education-related,31/12/2020,"11,542,000"
Albania,Europe,Education-related,31/12/2016,"9,733,000"
Albania,Europe,Education-related,31/12/2013,"16,072,000"
Albania,Europe,Education-related,31/12/2017,"16,267,000"
Albania,Europe,Education-related,31/12/2018,"14,263,000"
