Reporting Economy,Continent,Commercial services traded,Date,Value
Albania,Europe,Manufacturing services on physical inputs owned by others,31/12/2021,"663,000"
Albania,Europe,Manufacturing services on physical inputs owned by others,31/12/2017,"1,777,000"
Albania,Europe,Manufacturing services on physical inputs owned by others,31/12/2018,"2,298,000"
Albania,Europe,Manufacturing services on physical inputs owned by others,31/12/2014,"678,000"
Albania,Europe,Manufacturing services on physical inputs owned by others,31/12/2019,"1,545,000"
Albania,Europe,Manufacturing services on physical inputs owned by others,31/12/2020,"1,232,000"
Albania,Europe,Manufacturing services on physical inputs owned by others,31/12/2016,"1,807,000"
Albania,Europe,Manufacturing services on physical inputs owned by others,31/12/2015,"1,048,000"
Albania,Europe,Manufacturing services on physical inputs owned by others,31/12/2013,"690,000"
Albania,Europe,"Goods for processing in reporting economy – Goods returned , Goods received",31/12/2014,"920,580,000"
Albania,Europe,"Goods for processing in reporting economy – Goods returned , Goods received",31/12/2018,"1,215,770,000"
Albania,Europe,"Goods for processing in reporting economy – Goods returned , Goods received",31/12/2017,"1,019,438,000"
Albania,Europe,"Goods for processing in reporting economy – Goods returned , Goods received",31/12/2021,"1,472,830,000"
Albania,Europe,"Goods for processing in reporting economy – Goods returned , Goods received",31/12/2016,"842,680,000"
Albania,Europe,"Goods for processing in reporting economy – Goods returned , Goods received",31/12/2019,"1,196,614,000"
Albania,Europe,"Goods for processing in reporting economy – Goods returned , Goods received",31/12/2013,"732,868,000"
Albania,Europe,"Goods for processing in reporting economy – Goods returned , Goods received",31/12/2015,"804,296,000"
Albania,Europe,"Goods for processing in reporting economy – Goods returned , Goods received",31/12/2020,"1,107,374,000"
Albania,Europe,"Goods for processing abroad - Goods sent , Goods returned",31/12/2016,"5,189,000"
Albania,Europe,"Goods for processing abroad - Goods sent , Goods returned",31/12/2019,"4,428,000"
Albania,Europe,"Goods for processing abroad - Goods sent , Goods returned",31/12/2018,"6,388,000"
Albania,Europe,"Goods for processing abroad - Goods sent , Goods returned",31/12/2020,"4,534,000"
Albania,Europe,"Goods for processing abroad - Goods sent , Goods returned",31/12/2021,"2,939,000"
Albania,Europe,"Goods for processing abroad - Goods sent , Goods returned",31/12/2015,"3,740,000"
Albania,Europe,"Goods for processing abroad - Goods sent , Goods returned",31/12/2017,"7,074,000"
Albania,Europe,"Goods for processing abroad - Goods sent , Goods returned",31/12/2014,"3,475,000"
Albania,Europe,"Goods for processing abroad - Goods sent , Goods returned",31/12/2013,"2,748,000"
Albania,Europe,Maintenance and repair services n.i.e.,31/12/2015,"3,000,000"
Albania,Europe,Maintenance and repair services n.i.e.,31/12/2016,"2,054,000"
Albania,Europe,Maintenance and repair services n.i.e.,31/12/2013,"1,169,000"
Albania,Europe,Maintenance and repair services n.i.e.,31/12/2014,"1,770,000"
Albania,Europe,Maintenance and repair services n.i.e.,31/12/2021,"2,252,000"
Albania,Europe,Maintenance and repair services n.i.e.,31/12/2019,"1,352,000"
Albania,Europe,Maintenance and repair services n.i.e.,31/12/2020,"1,761,000"
Albania,Europe,Maintenance and repair services n.i.e.,31/12/2017,"2,423,000"
Albania,Europe,Maintenance and repair services n.i.e.,31/12/2018,"2,489,000"
Albania,Europe,Transport,31/12/2020,"205,848,000"
Albania,Europe,Transport,31/12/2013,"219,511,000"
Albania,Europe,Transport,31/12/2015,"191,119,000"
Albania,Europe,Transport,31/12/2019,"250,194,000"
Albania,Europe,Transport,31/12/2016,"234,311,000"
Albania,Europe,Transport,31/12/2017,"224,458,000"
Albania,Europe,Transport,31/12/2014,"226,528,000"
Albania,Europe,Transport,31/12/2018,"252,378,000"
Albania,Europe,Transport,31/12/2021,"268,725,000"
Albania,Europe,Sea transport,31/12/2021,"109,370,000"
Albania,Europe,Sea transport,31/12/2020,"72,504,000"
Albania,Europe,Sea transport,31/12/2019,"75,461,000"
Albania,Europe,Sea transport,31/12/2017,"94,335,000"
Albania,Europe,Sea transport,31/12/2018,"97,889,000"
Albania,Europe,Sea transport,31/12/2015,"55,119,000"
Albania,Europe,Sea transport,31/12/2016,"78,152,000"
Albania,Europe,Sea transport,31/12/2014,"67,915,000"
Albania,Europe,Sea transport,31/12/2013,"64,269,000"
Albania,Europe,Passenger (Sea),31/12/2014,"13,834,000"
Albania,Europe,Passenger (Sea),31/12/2015,"6,762,000"
Albania,Europe,Passenger (Sea),31/12/2013,"9,814,000"
Albania,Europe,Passenger (Sea),31/12/2021,"21,284,000"
Albania,Europe,Passenger (Sea),31/12/2019,"15,476,000"
Albania,Europe,Passenger (Sea),31/12/2017,"17,576,000"
Albania,Europe,Passenger (Sea),31/12/2018,"29,732,000"
Albania,Europe,Passenger (Sea),31/12/2016,"9,041,000"
Albania,Europe,Passenger (Sea),31/12/2020,"15,951,000"
Albania,Europe,Freight (Sea),31/12/2015,"45,924,000"
Albania,Europe,Freight (Sea),31/12/2018,"64,866,000"
Albania,Europe,Freight (Sea),31/12/2017,"58,001,000"
Albania,Europe,Freight (Sea),31/12/2020,"56,371,000"
Albania,Europe,Freight (Sea),31/12/2021,"87,363,000"
Albania,Europe,Freight (Sea),31/12/2014,"51,791,000"
Albania,Europe,Freight (Sea),31/12/2013,"52,821,000"
Albania,Europe,Freight (Sea),31/12/2019,"58,905,000"
Albania,Europe,Freight (Sea),31/12/2016,"62,736,000"
Albania,Europe,Air transport,31/12/2016,"78,100,000"
Albania,Europe,Air transport,31/12/2019,"46,792,000"
Albania,Europe,Air transport,31/12/2017,"43,111,000"
Albania,Europe,Air transport,31/12/2013,"84,880,000"
Albania,Europe,Air transport,31/12/2014,"91,154,000"
Albania,Europe,Air transport,31/12/2015,"76,192,000"
Albania,Europe,Air transport,31/12/2020,"33,603,000"
Albania,Europe,Air transport,31/12/2018,"42,032,000"
Albania,Europe,Air transport,31/12/2021,"36,887,000"
Albania,Europe,Passenger (Air),31/12/2021,"9,597,000"
Albania,Europe,Passenger (Air),31/12/2014,"83,689,000"
Albania,Europe,Passenger (Air),31/12/2015,"65,945,000"
Albania,Europe,Passenger (Air),31/12/2013,"77,753,000"
Albania,Europe,Passenger (Air),31/12/2020,"3,402,000"
Albania,Europe,Passenger (Air),31/12/2018,"19,921,000"
Albania,Europe,Passenger (Air),31/12/2017,"21,514,000"
Albania,Europe,Passenger (Air),31/12/2019,"19,669,000"
Albania,Europe,Passenger (Air),31/12/2016,"66,566,000"
Albania,Europe,Freight (Air),31/12/2021,"9,359,000"
Albania,Europe,Freight (Air),31/12/2020,"7,437,000"
Albania,Europe,Freight (Air),31/12/2019,"9,315,000"
Albania,Europe,Freight (Air),31/12/2016,"7,953,000"
Albania,Europe,Freight (Air),31/12/2017,"8,567,000"
Albania,Europe,Freight (Air),31/12/2013,"6,529,000"
Albania,Europe,Freight (Air),31/12/2014,"6,575,000"
Albania,Europe,Freight (Air),31/12/2015,"7,771,000"
Albania,Europe,Freight (Air),31/12/2018,"8,292,000"
Albania,Europe,Postal and courier services,31/12/2019,"3,281,000"
Albania,Europe,Postal and courier services,31/12/2017,"2,706,000"
Albania,Europe,Postal and courier services,31/12/2020,"3,792,000"
Albania,Europe,Postal and courier services,31/12/2015,"1,204,000"
Albania,Europe,Postal and courier services,31/12/2016,"1,073,000"
Albania,Europe,Postal and courier services,31/12/2013,"1,688,000"
Albania,Europe,Postal and courier services,31/12/2021,"3,333,000"
Albania,Europe,Postal and courier services,31/12/2014,"1,863,000"
Albania,Europe,Postal and courier services,31/12/2018,"3,710,000"
Albania,Europe,Travel,31/12/2014,"1,590,290,000"
Albania,Europe,Travel,31/12/2015,"1,237,673,000"
Albania,Europe,Travel,31/12/2016,"1,262,089,000"
Albania,Europe,Travel,31/12/2017,"1,433,027,000"
Albania,Europe,Travel,31/12/2018,"1,679,343,000"
Albania,Europe,Travel,31/12/2013,"1,479,348,000"
Albania,Europe,Travel,31/12/2019,"1,769,664,000"
Albania,Europe,Travel,31/12/2020,"762,571,000"
Albania,Europe,Travel,31/12/2021,"1,264,989,000"
Albania,Europe,Business,31/12/2017,"343,934,000"
Albania,Europe,Business,31/12/2018,"386,323,000"
Albania,Europe,Business,31/12/2016,"317,118,000"
Albania,Europe,Business,31/12/2015,"316,959,000"
Albania,Europe,Business,31/12/2021,"423,810,000"
Albania,Europe,Business,31/12/2019,"396,618,000"
Albania,Europe,Business,31/12/2014,"320,022,000"
Albania,Europe,Business,31/12/2013,"381,142,000"
Albania,Europe,Business,31/12/2020,"234,533,000"
Albania,Europe,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2014,"66,197,000"
Albania,Europe,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2019,"129,590,000"
Albania,Europe,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2021,"351,683,000"
Albania,Europe,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2015,"18,012,000"
Albania,Europe,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2018,"140,178,000"
Albania,Europe,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2013,"55,947,000"
Albania,Europe,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2017,"50,804,000"
Albania,Europe,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2016,"43,994,000"
Albania,Europe,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2020,"195,664,000"
Albania,Europe,Personal,31/12/2018,"1,293,008,000"
Albania,Europe,Personal,31/12/2020,"528,038,000"
Albania,Europe,Personal,31/12/2016,"944,971,000"
Albania,Europe,Personal,31/12/2013,"1,098,192,000"
Albania,Europe,Personal,31/12/2017,"1,089,093,000"
Albania,Europe,Personal,31/12/2019,"1,373,058,000"
Albania,Europe,Personal,31/12/2015,"920,714,000"
Albania,Europe,Personal,31/12/2021,"841,167,000"
Albania,Europe,Personal,31/12/2014,"1,270,268,000"
Albania,Europe,Health-related,31/12/2015,"46,484,000"
Albania,Europe,Health-related,31/12/2016,"65,339,000"
Albania,Europe,Health-related,31/12/2020,"16,589,000"
Albania,Europe,Health-related,31/12/2014,"112,434,000"
Albania,Europe,Health-related,31/12/2019,"62,741,000"
Albania,Europe,Health-related,31/12/2021,"11,481,000"
Albania,Europe,Health-related,31/12/2018,"103,152,000"
Albania,Europe,Health-related,31/12/2017,"85,445,000"
Albania,Europe,Health-related,31/12/2013,"93,021,000"
Albania,Europe,Education-related,31/12/2014,"50,460,000"
Albania,Europe,Education-related,31/12/2013,"33,137,000"
Albania,Europe,Education-related,31/12/2020,"15,978,000"
Albania,Europe,Education-related,31/12/2017,"18,425,000"
Albania,Europe,Education-related,31/12/2021,"6,921,000"
Albania,Europe,Education-related,31/12/2019,"39,198,000"
Albania,Europe,Education-related,31/12/2015,"6,332,000"
Albania,Europe,Education-related,31/12/2018,"14,439,000"
Albania,Europe,Education-related,31/12/2016,"4,102,000"
Albania,Europe,Construction,31/12/2021,"79,169,000"
Albania,Europe,Construction,31/12/2019,"2,235,000"
Albania,Europe,Construction,31/12/2020,"5,916,000"
Albania,Europe,Construction,31/12/2015,"2,871,000"
Albania,Europe,Construction,31/12/2013,"3,949,000"
Albania,Europe,Construction,31/12/2018,"377,000"
Albania,Europe,Construction,31/12/2017,"1,088,000"
Albania,Europe,Construction,31/12/2014,"2,947,000"
Albania,Europe,Construction,31/12/2016,"2,360,000"
Albania,Europe,Insurance and pension services,31/12/2017,"40,673,000"
Albania,Europe,Insurance and pension services,31/12/2016,"31,432,000"
Albania,Europe,Insurance and pension services,31/12/2015,"27,384,000"
Albania,Europe,Insurance and pension services,31/12/2014,"18,534,000"
Albania,Europe,Insurance and pension services,31/12/2018,"28,291,000"
Albania,Europe,Insurance and pension services,31/12/2021,"50,251,000"
Albania,Europe,Insurance and pension services,31/12/2013,"20,608,000"
Albania,Europe,Insurance and pension services,31/12/2020,"27,151,000"
Albania,Europe,Insurance and pension services,31/12/2019,"46,977,000"
Albania,Europe,Direct insurance,31/12/2014,"18,442,000"
