Merchandise products traded,Merchandise products traded
Agricultural products,Agricultural products
Food,Food
Manufactures,Manufactures
Chemicals,Chemicals
Pharmaceuticals,Pharmaceuticals
Clothing,Clothing
Iron and steel,Iron and steel
Machinery and transport equipment,Machinery and transport equipment
Automotive products,Automotive products
Office and telecom equipment,Office and telecom equipment
Electronic data processing and office equipment,Electronic data processing and office equipment
Integrated circuits and electronic components,Integrated circuits and electronic components
Telecommunications equipment,Telecommunications equipment
Transport equipment,Transport equipment
Textiles,Textiles
Fuels and mining products,Fuels and mining products
Fuels,Fuels
Total merchandise,Total merchandise
