Reporting Economy,Reporting Economy
World,World
Albania,Albania
Algeria,Algeria
Angola,Angola
Antigua and Barbuda,Antigua and Barbuda
Azerbaijan,Azerbaijan
Argentina,Argentina
Australia,Australia
Austria,Austria
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Armenia,Armenia
Barbados,Barbados
Belgium,Belgium
Bermuda,Bermuda
Bhutan,Bhutan
Bolivia,Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
Belize,Belize
Solomon Islands,Solomon Islands
Brunei Darussalam,Brunei Darussalam
Bulgaria,Bulgaria
Myanmar,Myanmar
Burundi,Burundi
Belarus,Belarus
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Cabo Verde,Cabo Verde
Central African Republic,Central African Republic
Sri Lanka,Sri Lanka
Chad,Chad
Chile,Chile
China,China
Colombia,Colombia
Comoros,Comoros
"Congo, Rep.","Congo, Rep."
"Congo, Dem. Rep.","Congo, Dem. Rep."
Costa Rica,Costa Rica
Croatia,Croatia
Cyprus,Cyprus
Czech Republic,Czech Republic
Benin,Benin
Denmark,Denmark
Dominica,Dominica
Dominican Republic,Dominican Republic
Ecuador,Ecuador
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Ethiopia,Ethiopia
Estonia,Estonia
Fiji,Fiji
Finland,Finland
France,France
Djibouti,Djibouti
Gabon,Gabon
Georgia,Georgia
The Gambia,The Gambia
Germany,Germany
Ghana,Ghana
Kiribati,Kiribati
Greece,Greece
Grenada,Grenada
Guatemala,Guatemala
Guinea,Guinea
Haiti,Haiti
Honduras,Honduras
"Hong Kong SAR, China","Hong Kong SAR, China"
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
"Iran, Islamic Rep.","Iran, Islamic Rep."
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Cote d'Ivoire,Cote d'Ivoire
Jamaica,Jamaica
Japan,Japan
Kazakhstan,Kazakhstan
Jordan,Jordan
Kenya,Kenya
"Korea, Rep.","Korea, Rep."
Kuwait,Kuwait
Kyrgyz Republic,Kyrgyz Republic
Lao PDR,Lao PDR
Lebanon,Lebanon
Lesotho,Lesotho
Latvia,Latvia
Libya,Libya
Lithuania,Lithuania
Luxembourg,Luxembourg
"Macao SAR, China","Macao SAR, China"
Madagascar,Madagascar
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
Mongolia,Mongolia
Moldova,Moldova
Morocco,Morocco
Mozambique,Mozambique
Oman,Oman
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
Aruba,Aruba
Sint Maarten (Dutch part),Sint Maarten (Dutch part)
New Caledonia,New Caledonia
Vanuatu,Vanuatu
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Norway,Norway
Marshall Islands,Marshall Islands
Pakistan,Pakistan
Panama,Panama
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Guinea-Bissau,Guinea-Bissau
Timor-Leste,Timor-Leste
Qatar,Qatar
Romania,Romania
Russian Federation,Russian Federation
Rwanda,Rwanda
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovak Republic,Slovak Republic
Vietnam,Vietnam
Slovenia,Slovenia
South Africa,South Africa
Zimbabwe,Zimbabwe
Spain,Spain
South Sudan,South Sudan
Sudan,Sudan
Eswatini,Eswatini
Sweden,Sweden
Switzerland,Switzerland
Tajikistan,Tajikistan
Thailand,Thailand
Togo,Togo
Tonga,Tonga
United Arab Emirates,United Arab Emirates
Tunisia,Tunisia
Turkiye,Turkiye
Uganda,Uganda
Ukraine,Ukraine
North Macedonia,North Macedonia
"Egypt, Arab Rep.","Egypt, Arab Rep."
United Kingdom,United Kingdom
Tanzania,Tanzania
United States,United States
Burkina Faso,Burkina Faso
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Samoa,Samoa
Serbia,Serbia
Montenegro,Montenegro
Zambia,Zambia
