Date,Price,Open,High,Low,Vol.,Change %
22/3/2021,"1,525.00","1,525.00","1,525.00","1,525.00",-,0.33%
23/3/2021,"1,535.00","1,535.00","1,535.00","1,535.00",-,0.66%
24/3/2021,"1,505.00","1,505.00","1,505.00","1,505.00",-,-1.95%
25/3/2021,"1,494.00","1,494.00","1,494.00","1,494.00",-,-0.73%
26/3/2021,"1,489.00","1,489.00","1,489.00","1,489.00",-,-0.33%
29/3/2021,"1,489.00","1,489.00","1,489.00","1,489.00",-,0.00%
30/3/2021,"1,489.00","1,489.00","1,489.00","1,489.00",-,0.00%
31/3/2021,"1,489.00","1,489.00","1,489.00","1,489.00",-,0.00%
1/4/2021,"1,489.00","1,489.00","1,489.00","1,489.00",-,0.00%
5/4/2021,"1,489.00","1,489.00","1,489.00","1,489.00",-,0.00%
6/4/2021,"1,489.00","1,489.00","1,489.00","1,489.00",-,0.00%
7/4/2021,"1,489.00","1,489.00","1,489.00","1,489.00",-,0.00%
8/4/2021,"1,489.00","1,489.00","1,489.00","1,489.00",-,0.00%
9/4/2021,"1,489.00","1,489.00","1,489.00","1,489.00",-,0.00%
12/4/2021,"1,489.00","1,489.00","1,489.00","1,489.00",-,0.00%
13/4/2021,"1,489.00","1,489.00","1,489.00","1,489.00",-,0.00%
14/4/2021,"1,489.00","1,489.00","1,489.00","1,489.00",-,0.00%
15/4/2021,"1,489.00","1,489.00","1,489.00","1,489.00",-,0.00%
16/4/2021,"1,489.00","1,489.00","1,489.00","1,489.00",-,0.00%
19/4/2021,"1,489.00","1,489.00","1,489.00","1,489.00",-,0.00%
20/4/2021,"1,523.00","1,523.00","1,523.00","1,523.00",-,2.28%
21/4/2021,"1,402.00","1,402.00","1,402.00","1,402.00",-,-7.94%
22/4/2021,"1,458.00","1,458.00","1,458.00","1,458.00",-,3.99%
23/4/2021,"1,458.00","1,458.00","1,458.00","1,458.00",-,0.00%
26/4/2021,"1,458.00","1,458.00","1,458.00","1,458.00",-,0.00%
27/4/2021,"1,458.00","1,458.00","1,458.00","1,458.00",-,0.00%
28/4/2021,"1,494.00","1,494.00","1,494.00","1,494.00",-,2.47%
29/4/2021,"1,484.00","1,484.00","1,484.00","1,484.00",-,-0.67%
30/4/2021,"1,483.00","1,483.00","1,483.00","1,483.00",-,-0.07%
3/5/2021,"1,481.00","1,481.00","1,481.00","1,481.00",-,-0.13%
4/5/2021,"1,501.00","1,500.00","1,502.00","1,500.00",0.06K,1.35%
5/5/2021,"1,501.00","1,500.00","1,502.00","1,500.00",0.06K,0.00%
6/5/2021,"1,502.00","1,501.00","1,502.00","1,501.00",0.04K,0.07%
7/5/2021,"1,492.00","1,492.00","1,492.00","1,492.00",-,-0.67%
10/5/2021,"1,498.00","1,498.00","1,498.00","1,498.00",-,0.40%
11/5/2021,"1,502.00","1,502.00","1,502.00","1,502.00",-,0.27%
12/5/2021,"1,505.00","1,505.00","1,505.00","1,505.00",-,0.20%
13/5/2021,"1,505.00","1,505.00","1,505.00","1,505.00",-,0.00%
14/5/2021,"1,516.00","1,516.00","1,516.00","1,516.00",-,0.73%
17/5/2021,"1,491.00","1,491.00","1,491.00","1,491.00",-,-1.65%
18/5/2021,"1,550.00","1,550.00","1,550.00","1,550.00",0.02K,3.96%
19/5/2021,"1,491.00","1,491.00","1,491.00","1,491.00",-,-3.81%
20/5/2021,"1,520.00","1,520.00","1,520.00","1,520.00",0.02K,1.95%
21/5/2021,"1,495.00","1,495.00","1,495.00","1,495.00",-,-1.64%
24/5/2021,"1,494.00","1,494.00","1,494.00","1,494.00",-,-0.07%
25/5/2021,"1,504.00","1,504.00","1,504.00","1,504.00",-,0.67%
26/5/2021,"1,524.00","1,520.00","1,530.00","1,520.00",0.25K,1.33%
27/5/2021,"1,499.00","1,499.00","1,499.00","1,499.00",-,-1.64%
28/5/2021,"1,504.00","1,504.00","1,504.00","1,504.00",-,0.33%
31/5/2021,"1,503.00","1,503.00","1,503.00","1,503.00",-,-0.07%
1/6/2021,"1,503.00","1,503.00","1,503.00","1,503.00",-,0.00%
2/6/2021,"1,493.00","1,493.00","1,493.00","1,493.00",-,-0.67%
3/6/2021,"1,530.00","1,530.00","1,530.00","1,530.00",0.27K,2.48%
4/6/2021,"1,503.00","1,503.00","1,503.00","1,503.00",-,-1.76%
7/6/2021,"1,502.00","1,502.00","1,502.00","1,502.00",-,-0.07%
8/6/2021,"1,502.00","1,502.00","1,502.00","1,502.00",-,0.00%
9/6/2021,"1,525.00","1,525.00","1,525.00","1,525.00",0.09K,1.53%
10/6/2021,"1,502.00","1,502.00","1,502.00","1,502.00",-,-1.51%
11/6/2021,"1,473.00","1,445.00","1,500.00","1,445.00",0.02K,-1.93%
15/6/2021,"1,530.00","1,530.00","1,530.00","1,530.00",0.20K,3.87%
16/6/2021,"1,568.00","1,566.00","1,570.00","1,566.00",0.20K,2.48%
17/6/2021,"1,600.00","1,600.00","1,600.00","1,600.00",0.01K,2.04%
18/6/2021,"1,560.00","1,682.00","1,682.00","1,682.00",-,-2.50%
21/6/2021,"1,713.00","1,699.00","1,721.00","1,699.00",0.08K,9.81%
22/6/2021,"1,655.00","1,655.00","1,655.00","1,655.00",-,-3.39%
23/6/2021,"1,721.00","1,721.00","1,721.00","1,721.00",0.01K,3.99%
24/6/2021,"1,705.00","1,705.00","1,705.00","1,705.00",-,-0.93%
25/6/2021,"1,710.00","1,710.00","1,710.00","1,710.00",-,0.29%
28/6/2021,"1,754.00","1,754.00","1,754.00","1,754.00",-,2.57%
29/6/2021,"1,784.00","1,780.00","1,791.00","1,780.00",0.03K,1.71%
30/6/2021,"1,855.00","1,855.00","1,855.00","1,855.00",0.01K,3.98%
1/7/2021,"1,900.00","1,900.00","1,900.00","1,900.00",0.06K,2.43%
2/7/2021,"1,854.00","1,854.00","1,854.00","1,854.00",-,-2.42%
5/7/2021,"1,803.00","1,803.00","1,803.00","1,803.00",-,-2.75%
6/7/2021,"1,853.00","1,853.00","1,853.00","1,853.00",-,2.77%
7/7/2021,"1,853.00","1,853.00","1,853.00","1,853.00",-,0.00%
8/7/2021,"1,853.00","1,853.00","1,853.00","1,853.00",-,0.00%
9/7/2021,"1,853.00","1,853.00","1,853.00","1,853.00",-,0.00%
12/7/2021,"1,827.00","1,827.00","1,827.00","1,827.00",-,-1.40%
13/7/2021,"1,812.00","1,812.00","1,812.00","1,812.00",-,-0.82%
14/7/2021,"1,740.00","1,740.00","1,740.00","1,740.00",0.04K,-3.97%
15/7/2021,"1,700.00","1,700.00","1,700.00","1,700.00",0.01K,-2.30%
16/7/2021,"1,700.00","1,700.00","1,700.00","1,700.00",-,0.00%
19/7/2021,"1,700.00","1,700.00","1,700.00","1,700.00",-,0.00%
20/7/2021,"1,839.00","1,839.00","1,839.00","1,839.00",-,8.18%
21/7/2021,"1,807.00","1,807.00","1,807.00","1,807.00",-,-1.74%
22/7/2021,"1,856.00","1,856.00","1,856.00","1,856.00",-,2.71%
23/7/2021,"1,856.00","1,856.00","1,856.00","1,856.00",-,0.00%
26/7/2021,"1,855.00","1,855.00","1,855.00","1,855.00",-,-0.05%
27/7/2021,"1,842.00","1,842.00","1,842.00","1,842.00",-,-0.70%
28/7/2021,"1,842.00","1,842.00","1,842.00","1,842.00",-,0.00%
29/7/2021,"1,830.00","1,830.00","1,830.00","1,830.00",-,-0.65%
30/7/2021,"1,829.00","1,829.00","1,829.00","1,829.00",-,-0.05%
2/8/2021,"1,829.00","1,829.00","1,829.00","1,829.00",-,0.00%
3/8/2021,"1,829.00","1,829.00","1,829.00","1,829.00",-,0.00%
4/8/2021,"1,828.00","1,828.00","1,828.00","1,828.00",-,-0.05%
5/8/2021,"1,848.00","1,848.00","1,848.00","1,848.00",-,1.09%
6/8/2021,"1,843.00","1,843.00","1,843.00","1,843.00",-,-0.27%
9/8/2021,"1,831.00","1,831.00","1,831.00","1,831.00",-,-0.65%
10/8/2021,"1,839.00","1,839.00","1,839.00","1,839.00",-,0.44%
11/8/2021,"1,852.00","1,852.00","1,852.00","1,852.00",-,0.71%
12/8/2021,"1,827.00","1,827.00","1,827.00","1,827.00",-,-1.35%
13/8/2021,"1,827.00","1,827.00","1,827.00","1,827.00",-,0.00%
16/8/2021,"1,841.00","1,841.00","1,841.00","1,841.00",-,0.77%
17/8/2021,"1,830.00","1,830.00","1,830.00","1,830.00",-,-0.60%
18/8/2021,"1,837.00","1,837.00","1,837.00","1,837.00",-,0.38%
19/8/2021,"1,837.00","1,837.00","1,837.00","1,837.00",-,0.00%
20/8/2021,"1,873.00","1,873.00","1,873.00","1,873.00",-,1.96%
23/8/2021,"1,856.00","1,856.00","1,856.00","1,856.00",-,-0.91%
24/8/2021,"1,855.00","1,855.00","1,855.00","1,855.00",-,-0.05%
25/8/2021,"1,855.00","1,855.00","1,855.00","1,855.00",-,0.00%
