Open,Close,High,Low,Date
245,250,252.75,244.75,1/3/2021
251,245,252.5,242.75,2/3/2021
246,237.25,247,236.25,3/3/2021
238,236.25,238.75,235.75,4/3/2021
236.25,231.5,252.75,231,5/3/2021
232,238,240,178.75,8/3/2021
235.25,236,238,234,9/3/2021
230.5,230.75,231,230.25,10/3/2021
227.75,224.5,228.25,224.25,11/3/2021
224,223.25,225,223,12/3/2021
222.5,223,223.5,220.25,15/3/2021
222.25,222,222.75,220,16/3/2021
221.5,221.5,223.25,220.5,17/3/2021
221,220.5,221.25,220,18/3/2021
221,219.75,221.25,218.5,19/3/2021
219.25,218.75,220,218.25,22/3/2021
218.5,221,222.25,218.25,23/3/2021
221.25,218.5,222.25,217.5,24/3/2021
217.5,214,236,213.5,25/3/2021
214,214.75,215.25,213.5,26/3/2021
214.25,210.75,214.5,210.25,29/3/2021
210.75,209.75,212.25,208.75,30/3/2021
210.25,215.5,218,208.75,31/3/2021
216,209.25,236,207.25,1/4/2021
209.5,205.75,210.75,205,6/4/2021
205,207.25,207.75,204,7/4/2021
207.75,211.75,212.75,180.5,8/4/2021
212.25,212.75,215.25,211,9/4/2021
211.75,211.25,212.75,210.25,12/4/2021
212,217.5,218.75,211,13/4/2021
219,220.75,236,180.5,14/4/2021
222,219.5,236,217.75,15/4/2021
221,217.75,221.25,217,16/4/2021
218,216.5,218.25,214.5,19/4/2021
217.25,223,224,216.75,20/4/2021
224.75,231.5,233,180.5,21/4/2021
233,238.5,240,232.5,22/4/2021
235,236.25,237.75,233,23/4/2021
240,246.75,248.75,180.5,26/4/2021
249.25,247.25,252.75,245.75,27/4/2021
243,251.25,252.25,242.25,28/4/2021
250.5,251.25,257.5,249,29/4/2021
252,257.75,258.5,248,30/4/2021
259,243.5,261.5,240.25,3/5/2021
242.25,252.25,255,240.25,4/5/2021
252.75,248.5,259.75,247,5/5/2021
257.5,253.5,261.5,251.25,6/5/2021
258.75,243.75,270,243,7/5/2021
245,245.75,255,231,10/5/2021
223.25,226.75,229.5,222.5,11/5/2021
228,225.5,229.75,224,12/5/2021
224,216,233.5,214.5,13/5/2021
219,218,222.25,215.5,14/5/2021
214.25,214.5,217.75,213.5,17/5/2021
216.25,215,218.5,214,18/5/2021
212.5,211.5,213.75,209.75,19/5/2021
211.75,213.75,214.75,211,20/5/2021
212.5,212.75,213.75,211,21/5/2021
210,208.25,210.25,206.75,24/5/2021
208.25,205.25,209.75,203.75,25/5/2021
204,206,206.75,201.75,26/5/2021
207,212,212.5,206.75,27/5/2021
212.5,211.25,212.75,209,28/5/2021
210.75,213.75,214.25,209.75,31/5/2021
215,218.75,219,213.75,1/6/2021
219.5,215,221.5,214.25,2/6/2021
217.75,215.5,220,213.75,3/6/2021
215.5,214.75,217,214.25,4/6/2021
217.25,216.5,219.75,215.5,7/6/2021
218.5,216.25,218.75,215.5,8/6/2021
215,212.5,233.5,211.5,9/6/2021
212.75,212.5,214.5,210.25,10/6/2021
211.75,211.25,213.75,209.25,11/6/2021
208,209,210,206.5,14/6/2021
207,205.75,208,205.25,15/6/2021
205.75,206.5,207.75,205.25,16/6/2021
205.5,204.5,206,204.25,17/6/2021
205,208.25,209,204.75,18/6/2021
206.5,207.25,208.75,204.5,21/6/2021
208,207,209,207,22/6/2021
208.25,206.75,209.5,206,23/6/2021
206.25,204.5,207.75,203.5,24/6/2021
205.75,201.5,206,200.75,25/6/2021
202.25,203,204.25,202,28/6/2021
202.25,202.75,204.25,177.25,29/6/2021
202.25,209.25,210.75,201.5,30/6/2021
210.75,209,214,208.25,1/7/2021
209.25,205,210.25,204.25,2/7/2021
204.75,200.5,205,199.5,5/7/2021
199.75,198.25,200.25,196.25,6/7/2021
199.5,200,200.75,198.75,7/7/2021
199.5,199.75,201.75,198.25,8/7/2021
198.5,197.25,199.5,196.75,9/7/2021
197.5,199,200.5,196.75,12/7/2021
199.75,202.5,203.5,197.75,13/7/2021
203.5,208.25,209,201.75,14/7/2021
208.5,208.75,210.25,207,15/7/2021
210,214.25,215,177.25,16/7/2021
217.25,214.25,217.5,212.5,19/7/2021
217.5,215.5,218,215.25,20/7/2021
216.75,213.75,217,212.75,21/7/2021
211.5,210,212.5,209,22/7/2021
210,212,213,208.75,23/7/2021
209.5,213,213,209,26/7/2021
213.25,212,214.5,211,27/7/2021
213,216.25,216.5,177.25,28/7/2021
218,220.75,221.5,217,29/7/2021
221.5,223.25,224,216.75,30/7/2021
225,228.5,229,224,2/8/2021
226.75,228.25,231,226,3/8/2021
230,224.25,231.75,223.75,4/8/2021
225,225,227.25,224,5/8/2021
224.5,229.5,230.75,224.25,6/8/2021
228.5,229.25,230,227.75,9/8/2021
229.5,234.5,235.5,229,10/8/2021
233.25,236.5,238.5,233,11/8/2021
237.5,245.75,246.75,236.5,12/8/2021
246.5,254.5,260,246,13/8/2021
255.25,252.5,259,249.75,16/8/2021
251.5,245.75,260,244.75,17/8/2021
244.5,254.25,257,242.25,18/8/2021
251,261,262,177.25,19/8/2021
262,273.25,279.25,261.5,20/8/2021
274.5,273.5,283.75,268.5,23/8/2021
273.75,272.75,274.5,269.5,24/8/2021
272.75,245.25,283.5,243.25,25/8/2021
248.75,251,261,247,26/8/2021
250.25,250,251.25,247,27/8/2021
253,250.75,255,250.75,30/8/2021
250,248.75,253.25,246,31/8/2021
252,250.75,253,248,1/9/2021
245.5,248.5,252.75,177.25,2/9/2021
249,243.75,283.5,243.5,3/9/2021
243.5,240,245,235,6/9/2021
241.25,239.25,242.5,236,7/9/2021
239,239.5,283.5,177.25,8/9/2021
235.25,235.25,240,233.75,9/9/2021
231,235.75,236,177.25,10/9/2021
237.5,239,239.25,236.75,13/9/2021
240.5,243,244.25,240,14/9/2021
243.25,248.5,249.25,179,15/9/2021
248.5,248.75,249.25,247,16/9/2021
249,247.75,249.25,247,17/9/2021
246.75,245.75,247,244.75,20/9/2021
245.25,244.25,246.75,243.25,21/9/2021
245.25,249.5,249.75,244.75,22/9/2021
251,252,252.5,249.75,23/9/2021
0,253.25,0,0,24/9/2021
253.25,253.25,253.75,179,27/9/2021
252.75,254,257.25,252.25,28/9/2021
254,256,257.75,253,29/9/2021
255.75,258,262.75,179,30/9/2021
260.75,264.25,265.75,259.25,1/10/2021
265,265.25,266.5,263.25,4/10/2021
265,262.75,266.5,261.25,5/10/2021
262.75,268.25,268.75,179,6/10/2021
268,269.25,270,265.5,7/10/2021
269.5,269,272,268.25,8/10/2021
269.5,268.5,271.5,267.25,11/10/2021
269,271.5,273,267.25,12/10/2021
271.5,264.75,273,264,13/10/2021
266,270.5,271,265.5,14/10/2021
271.5,276,276.75,270.75,15/10/2021
276.5,274,277.75,273,18/10/2021
275.25,273.75,276,272.25,19/10/2021
275,278.25,278.75,274,20/10/2021
277.5,276.5,278,275.75,21/10/2021
278.25,280,280.75,278,22/10/2021
282,282,283,280.25,25/10/2021
281.25,284.75,285,279.25,26/10/2021
280.75,284.75,286.75,280.25,27/10/2021
285.25,283,286.25,282.25,28/10/2021
283,283.25,284.5,281.25,29/10/2021
283.75,291.25,293.25,283.5,1/11/2021
292.75,292.75,297,291.75,2/11/2021
293.5,289.5,296,289,3/11/2021
291.25,290,292.25,289.25,4/11/2021
291.25,287.75,291.5,287.5,5/11/2021
288.75,283.75,289,282.75,8/11/2021
284.75,286,286.5,282.25,9/11/2021
287,294.75,295.25,286.25,10/11/2021
295.75,297,300.5,295,11/11/2021
298.75,297.25,299.25,294.5,12/11/2021
297,294.75,300.5,293,15/11/2021
295,289,296.5,288.5,16/11/2021
289.75,295.5,298,289,17/11/2021
296.75,297,301,296.5,18/11/2021
299,299.75,303.25,294.75,19/11/2021
303.75,309,310.25,179,22/11/2021
307.75,311.5,312.25,307,23/11/2021
312.75,306.25,313.5,305,24/11/2021
307,305.5,313.5,302.25,25/11/2021
302.75,299.25,313.5,297.5,26/11/2021
300.5,287,302.5,286.25,29/11/2021
283.5,279.5,287,277,30/11/2021
284,282,285,279.25,1/12/2021
285.25,290.5,291.5,284.5,2/12/2021
289.25,283,289.5,281.75,3/12/2021
283,281,284,279,6/12/2021
280,280.25,283.75,276.75,7/12/2021
279.75,279,313.5,274,8/12/2021
276.5,277,281,276.25,9/12/2021
278.25,278.75,281.75,179,10/12/2021
283,286.25,286.5,279.5,13/12/2021
284.25,284.25,285.5,280.25,14/12/2021
280,275.75,281.75,274.25,15/12/2021
276.5,276,277.75,272.25,16/12/2021
278,278.5,279.75,276.25,17/12/2021
275,279.75,280,272.75,20/12/2021
280,285,286.75,278,21/12/2021
287.75,292.25,293,286.25,22/12/2021
293,290.75,293.25,288.75,23/12/2021
291,290.25,291.5,288.75,24/12/2021
292,289.5,295,288.75,27/12/2021
288,280.5,311.5,279.5,28/12/2021
280.75,282.25,282.75,279,29/12/2021
281,280,282.25,279.5,30/12/2021
280.5,278.5,281,277.5,31/12/2021
280.25,274,282,272.25,3/1/2022
273,279.25,279.5,180.75,4/1/2022
278.25,276,279.75,274.5,5/1/2022
274.25,273,275,271.75,6/1/2022
271.5,274.5,275,270.75,7/1/2022
274,275.5,276.5,273.25,10/1/2022
275,276.75,278.25,180.75,11/1/2022
277,271.25,277.25,270.5,12/1/2022
269.25,265.75,311.5,264.5,13/1/2022
263.75,263.5,265,259.75,14/1/2022
263.25,265.75,266.5,262.25,17/1/2022
266.75,267.75,269.25,264.5,18/1/2022
270.75,274.75,275,269.75,19/1/2022
275.25,273.75,276,272.25,20/1/2022
272.5,272.5,275,271,21/1/2022
273.75,281,281.5,273.5,24/1/2022
284.25,290.75,291.75,180.75,25/1/2022
288.25,281.25,289,280,26/1/2022
280.5,277.25,283.5,275.5,27/1/2022
279.75,278.75,281.25,275.25,28/1/2022
280.5,266,281.75,264,31/1/2022
267.75,269.25,272.25,267,1/2/2022
268.25,264.25,269.5,263.25,2/2/2022
262.25,261.25,263.25,259,3/2/2022
262,265.5,266.5,260.75,4/2/2022
267,266,269,265,7/2/2022
264.5,264.5,266.25,260.75,8/2/2022
265.25,262.75,265.5,261,9/2/2022
266.5,261.5,271.25,260.75,10/2/2022
261.25,268.75,269.5,180.75,11/2/2022
271.5,274,274.5,269,14/2/2022
270.25,266.75,311.5,264.5,15/2/2022
266,263,311.5,262.5,16/2/2022
266.75,265,311.5,263.25,17/2/2022
264,271.75,272.75,262.75,18/2/2022
271.75,274,275,269,21/2/2022
281,278.5,282.75,273.25,22/2/2022
280,287,287.75,279,23/2/2022
307.25,316.5,344,180.75,24/2/2022
308.5,290,314.25,289.25,25/2/2022
302.5,322.5,323.75,180.75,28/2/2022
331.25,351.25,352.25,180.75,1/3/2022
370,361,390,349.75,2/3/2022
366,381.75,390.75,355,3/3/2022
400,393.75,426,378,4/3/2022
430,422.5,450,422.5,7/3/2022
424.5,395,425,395,8/3/2022
398,403.5,403.75,392.25,9/3/2022
0,386.25,0,0,10/3/2022
374.25,370.75,376,362.5,11/3/2022
366.5,378.75,386.5,362.25,14/3/2022
385,386.5,392.5,374,15/3/2022
381.5,363.5,384.25,360,16/3/2022
365.5,367.75,370.75,361,17/3/2022
365,361.75,366.25,360.25,18/3/2022
364,376.75,378.75,187,21/3/2022
379.5,379,388.75,373.25,22/3/2022
382.25,384.5,388.5,380,23/3/2022
381.75,376.5,383.5,374,24/3/2022
373.25,381.25,383.5,371.25,25/3/2022
374.25,369.75,377,367.75,28/3/2022
371,357.5,373.5,347.5,29/3/2022
357.5,362.5,367.25,355.5,30/3/2022
363.25,369.5,374,360.75,31/3/2022
365.75,365.25,372.25,362.75,1/4/2022
369.5,363.75,370.5,362.5,4/4/2022
369.5,364.5,372.75,363.75,5/4/2022
363.75,364,369.75,362.75,6/4/2022
363.5,363.75,367.5,363,7/4/2022
364.25,372.75,375,363.5,8/4/2022
375,379.5,380.5,373.75,11/4/2022
383,399.25,400,382.75,12/4/2022
394,403,409.5,390.75,13/4/2022
405,401,411,400,14/4/2022
410,399.5,411,397.75,19/4/2022
399.5,398.5,400.5,394.5,20/4/2022
